	Tea | 1.25	Coffee | 2.50	Vodka | 3.00	Soda | 1.50	Water | 0.25
Ghengis Khan | Warlord	0.06 | 6	0.62 | 2	0.19 | 8	0.78 | 0	0.76 | 4
Oda Nobunaga | General	0.98 | 7	0.37 | 0	0.7 | 4	0.02 | 8	0.36 | 1
Marco Polo | Traveler	0.71 | 5	0.05 | 10	0.41 | 5	0.78 | 2	0.15 | 4
Churchill | Soldier	0.53 | 1	0.92 | 4	0.46 | 1	0.66 | 3	0.57 | 1
Stalin | Laughing Man	0.28 | 4	0.5 | 2	0.95 | 5	0.44 | 2	0.16 | 6
Wilson | Representative	0.39 | 3	0.12 | 7	0.36 | 4	0.1 | 8	0.48 | 5
Truman | Vice President	0.41 | 9	0.59 | 9	0.01 | 0	0.7 | 5	0.64 | 1
Walrus | French	0.83 | 2	0.26 | 6	0.96 | 3	0.9 | 2	0.08 | 4
Trotsky | Political Correspondant	0.53 | 8	0.23 | 5	0.18 | 4	0.38 | 0	0.84 | 7
Nicolai Ivanovich Lobachevsky | The Greatest Mathmatician	0.88 | 9	0.85 | 5	0.05 | 10	0.53 | 2	0.24 | 7
					
	Tea | 2.00	Coffee | 3.50	Vodka | 4.00	Soda | 2.50	Water | 1.25
Ghengis Khan | Great Khan	0.49 | 4	0.31 | 3	0.37 | 2	0.29 | 4	0.45 | 8
Oda Nobunaga | Betrayed	0.87 | 5	0.54 | 4	0.46 | 6	0.63 | 0	0.05 | 7
Marco Polo | Writer	0.73 | 6	0.66 | 8	0.84 | 2	0.27 | 9	0.96 | 8
Churchill | Cigar Tester	0.89 | 7	0.07 | 5	0.52 | 2	0.20 | 1	0.14 | 3
Stalin | Dictator	0.34 | 7	0.79 | 4	0.49 | 4	0.43 | 6	0.64 | 9
Wilson | President	0.09 | 8	0.80 | 7	0.75 | 9	0.96 | 4	0.42 | 1
Truman | Over-Anxious President	0.13 | 0	0.09 | 3	0.31 | 7	0.78 | 5	0.50 | 4
Walrus | French Leader	0.47 | 6	0.69 | 1	0.16 | 9	0.90 | 8	0.88 | 1
Trotsky | Partner in Crime	0.10 | 5	0.59 | 3	0.32 | 3	0.30 | 5	0.54 | 0
Nicolai Ivanovich Lobachevsky | Found success in mathmatics with one word	0.03 | 7	0.77 | 7	0.77 | 0 	0.00 | 5	0.50 | 10
					
	Tea | 0.75	Coffee | 1.50	Vodka | 2.00	Soda | 2.50	Water | 0.50
Ghengis Khan | Mongolian God	0.49 | 8	0.81 | 8	0.87 | 5	0.53 | 4	0.45 | 6
Oda Nobunaga | Ashes	0.61 | 0	0.02 | 7	0.70 | 6	0.62 | 7	0.79 | 2
Marco Polo | Game Subject	0.21 | 8	0.89 | 8	0.82 | 10	1.00 | 4	0.43 | 1
Churchill | Prime Minister	0.11 | 0	0.04 | 2	0.23 | 6	0.67 | 3	0.36 | 3
Stalin | Russian Bias	0.30 | 5	0.50 | 9	0.95 | 6	0.64 | 5	0.59 | 8
Wilson | League of Nations Creator	0.80 | 2	0.24 | 9	0.96 | 9	0.91 | 1	0.11 | 5
Truman | Learned not to mess with Stalin	0.58 | 2	0.29 | 2	0.25 | 4	0.47 | 9	0.94 | 6
Walrus | Masterful Mustache Holder	0.66 | 6	0.63 | 8	0.85 | 3	0.32 | 0	0.05 | 0
Trotsky | Meme	0.03 | 2	0.26 | 7	0.74 | 4	0.48 | 4	0.46 | 7
Nicolai Ivanovich Lobachevsky | Plagarize	0.70 | 1	0.18 | 9	0.93 | 9	0.93 | 1	0.16 | 6
					
	Beverage | Price				
Person | Role/Job	Like | Ave. Drank per Day				
