from	to	weight	timestamp
1	2	1	1262454010
1	3	1	1262454010
1	4	1	1262454010
1	5	1	1262454010
1	6	1	1262454010
1	7	1	1262454010
1	8	1	1262454010
1	9	1	1262454010
1	10	1	1262454010
1	11	1	1262454010
1	12	1	1262454010
1	13	1	1262454010
1	14	1	1262454010
1	15	1	1262454010
1	16	1	1262454010
1	17	1	1262454010
18	19	1	1262583526
18	19	1	1262583575
20	3	1	1262585289
20	21	1	1262585429
20	22	1	1262585488
20	23	1	1262585516
24	25	1	1262586908
26	27	1	1262586943
28	29	1	1262587000
1	7	1	1262587114
29	30	1	1262587333
29	28	1	1262587438
11	31	1	1262587685
11	32	1	1262587685
11	25	1	1262587685
11	33	1	1262587685
31	11	1	1262587713
33	11	1	1262587750
1	7	1	1262587999
34	21	1	1262588054
35	3	1	1262588115
36	37	1	1262588121
